測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(ug/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
14203050,2017/01/01,01,0,0.001,0.018,0.019,,0.007,,,,0.011,,,NNE,2.1,4.4,72.8
14203050,2017/01/01,02,0,0.001,0.017,0.018,,0.007,,,,0.007,,,N,1.3,3.7,73.3
14203050,2017/01/01,03,0,0.001,0.018,0.019,,0.003,,,,0.011,,,N,1.1,3.2,75.8
14203050,2017/01/01,04,0,0.001,0.015,0.016,,0.006,,,,0.012,,,NNW,1.0,3.2,76.0
14203050,2017/01/01,05,0,0,0.013,0.013,,0.007,,,,0.007,,,N,1.6,3.0,75.5
14203050,2017/01/01,06,0,0,0.012,0.012,,0.008,,,,0.012,,,NNW,1.4,3.5,71.9
14203050,2017/01/01,07,0,0.001,0.011,0.012,,0.011,,,,0.020,,,N,1.5,3.2,70.9
14203050,2017/01/01,08,0,0.005,0.015,0.020,,0.007,,,,0.008,,,NNE,1.7,4.1,70.6
14203050,2017/01/01,09,0,0.008,0.015,0.023,,0.010,,,,0.021,,,N,0.7,6.6,62.6
14203050,2017/01/01,10,0,0.007,0.014,0.021,,0.014,,,,0.015,,,NNE,0.7,9.7,51.8
14203050,2017/01/01,11,0.001,0.003,0.009,0.012,,0.025,,,,0.009,,,S,1.1,11.4,47.2
14203050,2017/01/01,12,0,0.002,0.005,0.007,,0.033,,,,0.004,,,SSE,1.3,12.5,43.0
14203050,2017/01/01,13,0,0,0.002,0.002,,0.039,,,,0.002,,,SSW,1.2,13.2,45.5
14203050,2017/01/01,14,0.001,0,0.002,0.002,,0.041,,,,0.002,,,SSE,2.2,13.3,49.4
14203050,2017/01/01,15,0.001,0,0.002,0.002,,0.042,,,,0.010,,,S,1.6,14.1,48.5
14203050,2017/01/01,16,0.001,0,0.002,0.002,,0.042,,,,0.010,,,S,1.7,13.5,50.5
14203050,2017/01/01,17,0.001,0,0.002,0.002,,0.043,,,,0.003,,,SSW,1.3,12.6,51.2
14203050,2017/01/01,18,0.001,0,0.003,0.003,,0.042,,,,0.007,,,SSE,1.7,12.5,49.3
14203050,2017/01/01,19,0.001,0,0.014,0.014,,0.027,,,,0.014,,,NNW,1.6,9.0,66.5
14203050,2017/01/01,20,0,0.001,0.019,0.020,,0.016,,,,0.004,,,N,1.7,8.1,68.1
14203050,2017/01/01,21,0,0.001,0.021,0.022,,0.013,,,,0.018,,,NNW,1.1,7.2,70.9
14203050,2017/01/01,22,0,0.001,0.023,0.024,,0.009,,,,0.014,,,N,1.3,6.9,72.9
14203050,2017/01/01,23,0,0.001,0.021,0.022,,0.009,,,,0.021,,,N,1.2,6.1,75.4
14203050,2017/01/01,24,0,0.001,0.023,0.024,,0.005,,,,0.020,,,NNW,1.0,5.4,77.1
14203050,2017/01/02,01,0,0.001,0.021,0.022,,0.006,,,,0.011,,,N,1.2,5.4,77.9
14203050,2017/01/02,02,0,0,0.016,0.016,,0.010,,,,0.008,,,N,1.5,5.2,77.9
14203050,2017/01/02,03,0,0,0.013,0.013,,0.011,,,,0.009,,,N,1.3,5.0,78.1
14203050,2017/01/02,04,0,0.001,0.011,0.012,,0.014,,,,0.013,,,N,1.1,5.4,79.9
14203050,2017/01/02,05,0,0,0.008,0.008,,0.017,,,,0.010,,,NNE,2.0,5.6,80.8
14203050,2017/01/02,06,0,0,0.010,0.010,,0.015,,,,0.005,,,N,1.6,5.5,72.9
14203050,2017/01/02,07,0,0.001,0.016,0.017,,0.008,,,,0.015,,,NNE,1.8,5.7,73.5
14203050,2017/01/02,08,0,0.003,0.019,0.022,,0.007,,,,0.015,,,NE,1.5,6.4,68.6
14203050,2017/01/02,09,0,0.006,0.018,0.024,,0.011,,,,0.004,,,N,0.7,7.6,67.5
14203050,2017/01/02,10,0,0.005,0.013,0.018,,0.017,,,,0.011,,,E,1.1,10.6,63.3
14203050,2017/01/02,11,0.001,0.004,0.009,0.013,,0.024,,,,0.025,,,SE,2.6,11.7,63.2
14203050,2017/01/02,12,0.001,0.001,0.003,0.004,,0.036,,,,0.006,,,SW,3.7,13.1,48.2
14203050,2017/01/02,13,0.001,0,0.002,0.002,,0.039,,,,0.009,,,WSW,4.3,13.8,47.1
14203050,2017/01/02,14,0.001,0,0.002,0.002,,0.038,,,,0.003,,,WSW,2.9,14.9,40.3
14203050,2017/01/02,15,0.002,0,0.002,0.002,,0.038,,,,0.018,,,WSW,1.3,15.6,36.3
14203050,2017/01/02,16,0.001,0,0.003,0.003,,0.039,,,,0.021,,,NE,1.8,14.3,38.6
14203050,2017/01/02,17,0.001,0,0.009,0.009,,0.033,,,,0.013,,,NNE,1.5,12.5,49.7
14203050,2017/01/02,18,0.002,0.001,0.023,0.024,,0.018,,,,0.008,,,NW,0.9,10.9,56.0
14203050,2017/01/02,19,0.001,0.001,0.024,0.025,,0.013,,,,0.014,,,NW,0.7,9.9,59.2
14203050,2017/01/02,20,0,0.001,0.029,0.030,,0.007,,,,0.020,,,NNW,0.9,8.8,63.9
14203050,2017/01/02,21,0,0.001,0.025,0.026,,0.008,,,,0.006,,,NNE,1.7,8.0,67.2
14203050,2017/01/02,22,0,0.002,0.029,0.031,,0.002,,,,0.016,,,N,1.5,7.1,71.8
14203050,2017/01/02,23,0,0.003,0.031,0.034,,0,,,,0.019,,,N,1.2,6.2,73.0
14203050,2017/01/02,24,0,0.002,0.024,0.026,,0.003,,,,0.014,,,N,1.8,5.9,74.5
14203050,2017/01/03,01,0,0.001,0.023,0.024,,0.002,,,,0.007,,,N,1.1,5.1,77.8
14203050,2017/01/03,02,0,0.001,0.025,0.026,,0,,,,0.023,,,N,1.5,4.9,76.7
14203050,2017/01/03,03,0,0.001,0.018,0.019,,0.005,,,,0.010,,,N,1.4,5.0,73.1
14203050,2017/01/03,04,0,0,0.014,0.014,,0.009,,,,0.010,,,NNW,0.8,4.4,74.1
14203050,2017/01/03,05,0,0,0.014,0.014,,0.008,,,,0.013,,,N,1.0,4.2,74.0
14203050,2017/01/03,06,0,0.001,0.014,0.015,,0.008,,,,0.012,,,NE,1.7,4.3,73.8
14203050,2017/01/03,07,0,0.002,0.021,0.023,,0.002,,,,0.013,,,N,1.3,3.4,75.9
14203050,2017/01/03,08,0,0.017,0.023,0.040,,0,,,,0.017,,,N,1.2,4.0,74.3
14203050,2017/01/03,09,0,0.016,0.020,0.036,,0.005,,,,0.019,,,NNE,3.0,7.9,59.8
14203050,2017/01/03,10,0.001,0.004,0.012,0.016,,0.027,,,,0.010,,,NE,3.5,10.4,50.2
14203050,2017/01/03,11,0.001,0.002,0.007,0.009,,0.038,,,,0.003,,,NE,3.1,11.3,45.4
14203050,2017/01/03,12,0.001,0.001,0.006,0.007,,0.040,,,,0.004,,,ENE,1.9,12.5,42.4
14203050,2017/01/03,13,0.001,0.001,0.005,0.006,,0.042,,,,0.014,,,SE,1.0,13.8,44.9
14203050,2017/01/03,14,0.001,0.001,0.004,0.005,,0.043,,,,0.029,,,SW,2.1,13.9,51.0
14203050,2017/01/03,15,0.001,0.001,0.004,0.005,,0.044,,,,0.016,,,SSW,1.6,13.9,47.3
14203050,2017/01/03,16,0.001,0,0.004,0.004,,0.046,,,,0.006,,,SSW,1.2,13.1,49.0
14203050,2017/01/03,17,0.001,0,0.005,0.005,,0.046,,,,0.006,,,SW,1.4,12.5,52.5
14203050,2017/01/03,18,0.001,0,0.008,0.008,,0.039,,,,0.010,,,NE,2.6,11.5,38.7
14203050,2017/01/03,19,0.001,0,0.013,0.013,,0.031,,,,0.017,,,ENE,1.7,10.0,42.6
14203050,2017/01/03,20,0.001,0.001,0.015,0.016,,0.028,,,,0.023,,,NE,2.8,9.2,42.0
14203050,2017/01/03,21,0.001,0.001,0.014,0.015,,0.029,,,,0.018,,,ENE,1.8,8.1,46.6
14203050,2017/01/03,22,0.001,0.001,0.014,0.015,,0.028,,,,0.020,,,ENE,1.2,7.2,50.2
14203050,2017/01/03,23,0.001,0,0.016,0.016,,0.025,,,,0.018,,,NE,1.5,6.9,49.6
14203050,2017/01/03,24,0,0,0.022,0.022,,0.015,,,,0.031,,,N,1.1,5.2,64.5
14203050,2017/01/04,01,0,0.001,0.022,0.023,,0.010,,,,0.020,,,N,0.8,5.3,65.4
14203050,2017/01/04,02,0,0,0.021,0.021,,0.009,,,,0.012,,,N,0.7,5.1,64.5
14203050,2017/01/04,03,0,0,0.019,0.019,,0.011,,,,0.016,,,CALM,0.4,5.2,64.4
14203050,2017/01/04,04,0,0.001,0.020,0.021,,0.008,,,,0.015,,,N,1.0,5.2,67.2
14203050,2017/01/04,05,0,0.001,0.018,0.019,,0.006,,,,0.016,,,N,1.0,5.2,70.5
14203050,2017/01/04,06,0,0.001,0.020,0.021,,0.004,,,,0.018,,,CALM,0.1,5.1,70.5
14203050,2017/01/04,07,0,0.009,0.022,0.031,,0.005,,,,0.024,,,W,1.4,5.8,69.8
14203050,2017/01/04,08,0,0.003,0.018,0.021,,0.017,,,,0.015,,,W,0.6,7.4,58.8
14203050,2017/01/04,09,0.001,0.002,0.010,0.012,,0.028,,,,0.013,,,SW,2.1,9.6,56.9
14203050,2017/01/04,10,0.001,0.001,0.006,0.007,,0.035,,,,0.021,,,SW,2.7,10.6,59.2
14203050,2017/01/04,11,0.001,0.001,0.005,0.006,,0.038,,,,0.015,,,SW,3.2,11.6,55.9
14203050,2017/01/04,12,0.001,0.001,0.004,0.005,,0.043,,,,0.014,,,WSW,3.5,12.4,56.3
14203050,2017/01/04,13,0.001,0.001,0.003,0.004,,0.044,,,,0.013,,,SW,4.3,13.2,56.1
14203050,2017/01/04,14,0.001,0.001,0.003,0.004,,0.044,,,,0.018,,,SW,2.2,14.3,52.5
14203050,2017/01/04,15,0.001,0.001,0.003,0.004,,0.044,,,,0.006,,,SE,2.4,14.3,49.8
14203050,2017/01/04,16,0.001,0,0.003,0.003,,0.044,,,,0.017,,,E,1.8,13.3,52.7
14203050,2017/01/04,17,0.001,0,0.007,0.007,,0.041,,,,0.024,,,ENE,1.3,12.1,55.1
14203050,2017/01/04,18,0.001,0.001,0.011,0.012,,0.033,,,,0.010,,,NE,4.4,10.5,44.6
14203050,2017/01/04,19,0.001,0,0.008,0.008,,0.034,,,,0.007,,,NE,3.4,9.4,46.2
14203050,2017/01/04,20,0.002,0,0.012,0.012,,0.030,,,,0.015,,,NE,2.8,8.5,49.7
14203050,2017/01/04,21,0.001,0.001,0.015,0.016,,0.027,,,,0.007,,,NNE,2.7,7.8,51.3
14203050,2017/01/04,22,0,0.001,0.014,0.015,,0.027,,,,0.016,,,NE,2.6,7.3,51.2
14203050,2017/01/04,23,0.001,0,0.015,0.015,,0.025,,,,0.015,,,NNE,3.3,6.8,50.7
14203050,2017/01/04,24,0,0,0.015,0.015,,0.022,,,,0.007,,,NNE,2.4,6.1,53.4
14203050,2017/01/05,01,0,0,0.020,0.020,,0.017,,,,0.002,,,N,1.9,5.6,52.4
14203050,2017/01/05,02,0,0,0.013,0.013,,0.022,,,,0.012,,,NNE,2.6,5.6,44.6
14203050,2017/01/05,03,0,0,0.006,0.006,,0.030,,,,0.013,,,NNE,2.9,5.6,40.7
14203050,2017/01/05,04,0,0,0.006,0.006,,0.031,,,,0.015,,,NE,3.3,5.4,41.9
14203050,2017/01/05,05,0,0,0.006,0.006,,0.030,,,,0.004,,,NNE,2.8,5.1,42.2
14203050,2017/01/05,06,0,0,0.008,0.008,,0.028,,,,0.007,,,NNE,2.8,4.9,42.4
14203050,2017/01/05,07,0,0.001,0.019,0.020,,0.012,,,,0.004,,,N,1.5,3.0,60.6
14203050,2017/01/05,08,0,0.005,0.022,0.027,,0.009,,,,0.011,,,N,1.4,4.1,60.1
14203050,2017/01/05,09,0,0.012,0.022,0.034,,0.011,,,,0.009,,,NNE,1.8,7.1,42.7
14203050,2017/01/05,10,0.001,0.005,0.013,0.018,,0.023,,,,0.006,,,NE,4.1,9.8,26.1
14203050,2017/01/05,11,0.002,0.003,0.009,0.012,,0.032,,,,0.018,,,NE,4.1,10.9,22.5
14203050,2017/01/05,12,0.003,0.002,0.006,0.008,,0.036,,,,0.013,,,ENE,4.7,10.7,27.1
14203050,2017/01/05,13,0.003,0.001,0.004,0.005,,0.037,,,,0.008,,,NE,5.3,11.4,20.2
14203050,2017/01/05,14,0.003,0.001,0.004,0.005,,0.039,,,,0.005,,,NE,5.1,11.3,28.1
14203050,2017/01/05,15,0.002,0.001,0.006,0.007,,0.038,,,,0.008,,,NE,4.6,11.0,30.7
14203050,2017/01/05,16,0.001,0.001,0.007,0.008,,0.036,,,,0.006,,,NE,3.3,9.8,31.3
14203050,2017/01/05,17,0.001,0.001,0.009,0.010,,0.033,,,,0.012,,,NE,2.8,8.2,36.7
14203050,2017/01/05,18,0.001,0.001,0.012,0.013,,0.029,,,,0.011,,,NE,4.3,7.2,39.3
14203050,2017/01/05,19,0.001,0.001,0.012,0.013,,0.028,,,,0.003,,,NE,3.8,6.1,43.6
14203050,2017/01/05,20,0.001,0,0.013,0.013,,0.026,,,,0.013,,,NE,3.6,5.3,49.1
